Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2014","2014","kg","24.38","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2015","2015","kg","24.63","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2016","2016","kg","25.09","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2017","2017","kg","25.63","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2018","2018","kg","25.4","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2014","2014","kg","24.05","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2015","2015","kg","23.45","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2016","2016","kg","24","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2017","2017","kg","24.32","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2018","2018","kg","25.1","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2014","2014","kg","4.47","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2015","2015","kg","4.45","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2016","2016","kg","4.32","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2017","2017","kg","4.27","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2018","2018","kg","4.25","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2014","2014","kg","58.78","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2015","2015","kg","58.61","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2016","2016","kg","58.38","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2017","2017","kg","57.97","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2018","2018","kg","55.95","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2014","2014","kg","0","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2015","2015","kg","0","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2016","2016","kg","0","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","5101","Eastern Africa","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2018","2018","kg","0","Fc","Calculated data"
